item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,is_active,high_cluster,source_family,has_choices,choice_count_unique,correct_in_choices,functionish_lemma,multiword_answer,suspicious_pos_or_surface,auto_bucket,suggested_action,reason_codes,choices_preview,meta_tables_hit
10496,graduação,выпускной экзамен,noun,,,3600,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,выпускной экзамен || часть || форма || случай || вопрос || ответ,
10520,nervoso,нервный человек,noun,,,3630,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,нервный человек || часть || форма || случай || вопрос || ответ,
3500,colapso,глубокая депрессия,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,5923,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,глубокая депрессия || кома || клюв || рабство || биоразнообразие || кривая,
3476,azeite,оливковое масло,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11810,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,оливковое масло || бит || морковь || скрипка || матрац || уксус,
10595,compacto,компактный автомобиль,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_long_correct,openwordnet,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,никарагуа || гей || авто || компактный автомобиль || инвестиции || философ,
10597,desapego,эмоциональная отстранённость,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_long_correct,openwordnet,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,свинец || анонс || включение || роза || соглашение || эмоциональная отстранённость,
10620,ingestão,приём пищи,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_generic,openwordnet,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,приём пищи || рубашка || бич || факультет || ректор || призёр,
10456,senão,предостережение,noun,,,3530,1,review_length_outlier_long_correct,empty,True,6,True,True,False,True,semantic_review,candidate_manual_semantic_review,functionish_lemma|suspicious_pos_or_surface,предостережение || часть || форма || случай || вопрос || ответ,
10030,todo,весь,adjective,,3k,2080,1,review_length_outlier_short_correct,empty,True,6,True,True,False,False,needs_human,manual_review,functionish_lemma,весь || второй || новый || единственный || необходимый || важный,
10009,nem,не,adverb,,3k,2130,1,review_length_outlier_short_correct,empty,True,6,True,True,False,False,needs_human,manual_review,functionish_lemma,не || быстро || часто || редко || наконец || обычно,
9288,idiota,идиот,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,2191,1,review_transparent_pair,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,день || мир || жизнь || дом || ничто || идиот,
10056,ir,идти,verb,,,2250,1,review_length_outlier_short_correct,empty,True,6,True,True,False,False,needs_human,manual_review,functionish_lemma,идти || возвращаться || приходить || входить || выходить || прибывать,
3499,classificação,классифицирование,noun,build:pilot_ptpt_001_enriched:safe_promote,5K,2410,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,определение || цвет || дворец || классифицирование || ученик || корабль,
10042,único,единственный,adjective,,3k,2730,1,review_length_outlier_long_correct,empty,True,6,True,True,False,False,needs_human,manual_review,functionish_lemma,единственный || весь || второй || новый || необходимый || важный,
9316,instalação,устано́вка,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,2951,1,review_length_outlier_generic,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,день || мир || жизнь || дом || ничто || устано́вка,
8979,condenado,заключённый,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,3190,1,review_length_outlier_generic,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,день || мир || жизнь || дом || ничто || заключённый,
10360,divulgação,распространение,noun,,,3300,1,review_length_outlier_long_correct,empty,True,6,True,False,False,False,needs_human,manual_review,,распространение || часть || форма || случай || вопрос || ответ,
10378,legislação,законодательство,noun,,,3350,1,review_length_outlier_long_correct,empty,True,6,True,False,False,False,needs_human,manual_review,,законодательство || часть || форма || случай || вопрос || ответ,
10486,funcionamento,функционирование,noun,,,3580,1,review_length_outlier_long_correct,empty,True,6,True,False,False,False,needs_human,manual_review,,функционирование || часть || форма || случай || вопрос || ответ,
10497,latino,латиноамериканец,noun,,,3600,1,review_length_outlier_long_correct,empty,True,6,True,False,False,False,needs_human,manual_review,,латиноамериканец || часть || форма || случай || вопрос || ответ,
8895,candidatura,кандидату́ра,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,4048,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,кандидату́ра || день || благо || мир || час || жизнь,
8985,consulado,ко́нсульство,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,6747,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,ко́нсульство || день || благо || мир || час || жизнь,
8782,apocalipse,апокали́псис,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,7728,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,апокали́псис || день || благо || мир || час || жизнь,
9361,jurisdição,юрисди́кция,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,7937,1,review_length_outlier_generic,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,юрисди́кция || день || благо || мир || час || жизнь,
3495,certificação,сертификация,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,9635,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,аврелий || дура || македония || единодушие || сертификация || архипелаг,
3549,imbecil,дура,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,9696,1,review_length_outlier_short_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,лёгкие || сертификация || македония || дура || мара || молот,
3502,colisão,столкновение,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,9976,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,героин || семя || коммунизм || википедия || столкновение || мессия,
3482,bit,бит,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11815,1,review_length_outlier_short_correct,safe_promote,True,6,True,False,False,False,needs_human,manual_review,,колония || вата || бит || метод || лёгкость || изменение,
10631,amplidão,протяжённость,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_long_correct,openwordnet,True,6,True,False,False,False,needs_human,manual_review,,азс || запрет || лень || прогноз || норвегия || протяжённость,
10612,boom,бум,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_short_correct,openwordnet,True,6,True,False,False,False,needs_human,manual_review,,бум || скала || душа || чередование || частота || урок,
10636,cubo,куб,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_short_correct,openwordnet,True,6,True,False,False,False,needs_human,manual_review,,переворот || кир || масло || куб || газета || ницца,
10599,estimulação,стимуляция,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_generic,openwordnet,True,6,True,False,False,False,needs_human,manual_review,,престол || зад || фортепиано || женатый || стимуляция || ассистент,
