item_id,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,reasons,choices_preview
1828,júlio,юлий,noun,build:pilot_ptpt_001_enriched_qc,10K,7175,short_choice_pack,яков || юлий || орёл || aлмаз || угол || польша
1290,coro,хор,noun,build:pilot_ptpt_001_enriched_qc,10K,7264,short_choice_pack,сокол || гаити || ген || хор || мышь || лимон
2390,salada,салат,noun,build:pilot_ptpt_001_enriched_qc,10K,7573,short_choice_pack,лёгкие || давид || фасад || форум || полк || салат
9106,elias,илия́,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,8046,short_choice_pack,день || мир || жизнь || дом || ничто || илия́
2277,pássaro,птица,noun,build:pilot_ptpt_001_enriched_qc,10K,8378,short_choice_pack,каталог || птица || фасад || гаити || раб || пыль
1683,haiti,гаити,noun,build:pilot_ptpt_001_enriched_qc,10K,8780,short_choice_pack,цирк || мука || стресс || пекин || молот || гаити
1026,baleia,кит,noun,build:pilot_ptpt_001_enriched_qc,10K,9007,short_choice_pack,хор || сдача || ванна || монах || кит || давид
1782,inês,агнес,noun,build:pilot_ptpt_001_enriched_qc,10K,9068,short_choice_pack,агнес || шахматы || пища || заказ || хор || сосна
9357,judas,иу́да,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,9362,short_choice_pack,день || мир || жизнь || дом || ничто || иу́да
3393,bem,хорошо,adverb,build:pilot_ptpt_004_adverb_curated,1K,54,functionish_surface,аж || только || здесь || уже || сейчас || хорошо
3386,aqui,здесь,adverb,build:pilot_ptpt_004_adverb_curated,1K,63,functionish_surface,потом || аж || хорошо || здесь || сейчас || так
3375,agora,сейчас,adverb,build:pilot_ptpt_004_adverb_curated,1K,70,functionish_surface,где || здесь || сейчас || так || аж || потом
3392,assim,так,adverb,build:pilot_ptpt_004_adverb_curated,1K,75,functionish_surface,где || потом || хорошо || лучше || всегда || так
3376,depois,потом,adverb,build:pilot_ptpt_004_adverb_curated,1K,76,functionish_surface,лучше || так || потом || только || всегда || где
3351,onde,где,adverb,build:pilot_ptpt_003_kaikki_adjadv,1K,78,short_choice_pack,так || потом || лишь || лучше || где || всегда
3378,sempre,всегда,adverb,build:pilot_ptpt_004_adverb_curated,1K,98,functionish_surface,сегодня || никогда || где || лучше || всегда || лишь
3354,nunca,никогда,adverb,build:pilot_ptpt_003_kaikki_adjadv,1K,110,functionish_surface,никогда || ещё || раньше || так || лишь || сегодня
3372,hoje,сегодня,adverb,build:pilot_ptpt_004_adverb_curated,1K,117,functionish_surface,ещё || никогда || лишь || раньше || только || сегодня
3367,ainda,ещё,adverb,build:pilot_ptpt_004_adverb_curated,1K,120,functionish_surface,никогда || ещё || сквозь || раньше || уже || сколько
3377,antes,раньше,adverb,build:pilot_ptpt_004_adverb_curated,1K,151,functionish_surface,почти || сквозь || раньше || ещё || сколько || уже
108,corpo,тело,noun,build:pilot_ptpt_001_pilot_safe,1K,363,short_choice_pack,связь || книга || тело || север || голова || друг
109,livro,книга,noun,build:pilot_ptpt_001_pilot_safe,1K,378,short_choice_pack,курс || балл || друг || связь || книга || север
110,relação,связь,noun,build:pilot_ptpt_001_pilot_safe,1K,381,short_choice_pack,курс || балл || связь || книга || друг || север
112,amigo,друг,noun,build:pilot_ptpt_001_pilot_safe,1K,384,short_choice_pack,связь || сеть || друг || балл || север || курс
113,norte,север,noun,build:pilot_ptpt_001_pilot_safe,1K,396,short_choice_pack,образ || балл || друг || сеть || курс || север
3608,política,курс,noun,build:pilot_ptpt_001_enriched:safe_promote,1K,397,short_choice_pack,бизнес || север || сеть || образ || балл || курс
3609,ponto,балл,noun,build:pilot_ptpt_001_enriched:safe_promote,1K,398,short_choice_pack,курс || образ || балл || сеть || бизнес || улица
3362,amanhã,завтра,adverb,build:pilot_ptpt_003_kaikki_adjadv,1K,548,functionish_surface,далеко || возможно || вчера || хуже || ниже || завтра
186,vontade,воля,noun,build:pilot_ptpt_001_pilot_safe,1K,692,short_choice_pack,ответ || канал || рот || базар || воля || общение
3387,ali,там,adverb,build:pilot_ptpt_004_adverb_curated,1K,820,functionish_surface,выше || снаружи || близко || там || скоро || поздно
217,banco,банк,noun,build:pilot_ptpt_001_pilot_safe,1K,821,short_choice_pack,клуб || пляж || море || журнал || дверь || банк
222,porta,дверь,noun,build:pilot_ptpt_001_pilot_safe,1K,832,short_choice_pack,дверь || опыт || макет || сплав || присутствие || клуб
229,rádio,радий,noun,build:pilot_ptpt_001_pilot_safe,1K,857,short_choice_pack,клуб || курс || присутствие || радий || сплав || опыт
2567,traseiro,зад,noun,build:pilot_ptpt_001_enriched_qc,20K,10101,short_choice_pack,якорь || зад || пост || адам || пчела || снос
1065,bobagem,вздор,noun,build:pilot_ptpt_001_enriched_qc,20K,10141,short_choice_pack,хвост || вздор || пот || бич || муравей || воск
1168,cebola,лук,noun,build:pilot_ptpt_001_enriched_qc,20K,10144,short_choice_pack,факел || лук || мышцы || кипр || снос || воск
2219,preguiça,лень,noun,build:pilot_ptpt_001_enriched_qc,20K,10423,short_choice_pack,тунис || труп || коза || лень || бриз || кир
2366,riso,смех,noun,build:pilot_ptpt_001_enriched_qc,20K,10434,short_choice_pack,зад || одеяло || кипр || коза || бич || смех
1209,ciro,кир,noun,build:pilot_ptpt_001_enriched_qc,20K,10490,short_choice_pack,якорь || кир || бич || пчела || кипр || юрист
1632,gana,гана,noun,build:pilot_ptpt_001_enriched_qc,20K,10539,short_choice_pack,гана || руда || лампа || уравнение || врун || череп
2049,nice,ницца,noun,build:pilot_ptpt_001_enriched_qc,20K,10762,short_choice_pack,вол || кусок || зов || кислород || угол || ницца
2386,sabão,мыло,noun,build:pilot_ptpt_001_enriched_qc,20K,10787,short_choice_pack,угол || кислород || мыло || вол || зов || кусок
1805,jejum,пост,noun,build:pilot_ptpt_001_enriched_qc,20K,11095,short_choice_pack,адам || ручей || пост || змея || исайя || кир
3489,cadáver,труп,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11594,short_choice_pack,тунис || матрац || смех || труп || пчела || томат
3624,sereia,сирен,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11967,short_choice_pack,тунис || ручей || сирен || томат || прятки || кипр
278,fernando,фердинанд,noun,build:pilot_ptpt_001_pilot_safe,2K,1046,proper_name_like,квартира || генерал || авария || усилие || категория || фердинанд
319,estrada,шоссе,noun,build:pilot_ptpt_001_pilot_safe,2K,1192,short_choice_pack,душа || лицо || шоссе || выход || муж || сигнал
321,marido,муж,noun,build:pilot_ptpt_001_pilot_safe,2K,1197,short_choice_pack,муж || шоссе || выход || ящик || душа || лицо
322,rosto,лицо,noun,build:pilot_ptpt_001_pilot_safe,2K,1199,short_choice_pack,муж || ящик || шоссе || выход || душа || лицо
323,saída,выход,noun,build:pilot_ptpt_001_pilot_safe,2K,1201,short_choice_pack,выход || лицо || ошибка || муж || ящик || душа
338,relatório,отчёт,noun,build:pilot_ptpt_001_pilot_safe,2K,1258,short_choice_pack,отчёт || память || мусор || обзор || обмен || око
341,troca,обмен,noun,build:pilot_ptpt_001_pilot_safe,2K,1264,short_choice_pack,око || наука || отчёт || шанс || обзор || обмен
342,análise,обзор,noun,build:pilot_ptpt_001_pilot_safe,2K,1268,short_choice_pack,шанс || судьба || обмен || наука || отчёт || обзор
9507,negro,негр,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,2K,1367,short_choice_pack,день || мир || жизнь || дом || ничто || негр
9379,lima,лима,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,2K,1468,short_choice_pack,день || мир || жизнь || дом || ничто || лима
31,ontem,вчера,adverb,build:seed,2K,1500,functionish_surface,вчера || поздно || наконец || медленно || редко || обычно
9657,puta,блядь,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,2K,1506,short_choice_pack,день || мир || жизнь || дом || ничто || блядь
433,câncer,рак,noun,build:pilot_ptpt_001_pilot_safe,2K,1607,short_choice_pack,иран || звук || наука || обед || рак || выход
470,costas,спина,noun,build:pilot_ptpt_001_pilot_safe,2K,1739,short_choice_pack,спина || письмо || газ || лес || путч || кухня
471,cozinha,кухня,noun,build:pilot_ptpt_001_pilot_safe,2K,1740,short_choice_pack,спина || письмо || путч || газ || лес || кухня
473,floresta,лес,noun,build:pilot_ptpt_001_pilot_safe,2K,1745,short_choice_pack,лес || письмо || кухня || спина || путч || газ
474,golpe,путч,noun,build:pilot_ptpt_001_pilot_safe,2K,1747,short_choice_pack,письмо || спина || газ || путч || кухня || лес
475,gás,газ,noun,build:pilot_ptpt_001_pilot_safe,2K,1748,short_choice_pack,кухня || письмо || лес || газ || путч || спина
489,museu,музей,noun,build:pilot_ptpt_001_pilot_safe,2K,1822,short_choice_pack,финиш || жара || обед || юмор || цепь || музей
490,almoço,обед,noun,build:pilot_ptpt_001_pilot_safe,2K,1835,short_choice_pack,музей || цепь || жара || обед || почитание || финиш
10007,também,тоже,adverb,,2k,1690,functionish_surface,тоже || вчера || наконец || поздно || быстро || часто
10008,então,тогда,adverb,,3k,2130,functionish_surface,тогда || быстро || часто || редко || наконец || обычно
546,guia,гид,noun,build:pilot_ptpt_001_pilot_safe,5K,2053,short_choice_pack,пара || обед || спорт || гид || чтение || волна
9288,idiota,идиот,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,2191,short_choice_pack,день || мир || жизнь || дом || ничто || идиот
9830,toca,нора́,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,2545,short_choice_pack,день || мир || жизнь || дом || ничто || нора́
696,luís,людвиг,noun,build:pilot_ptpt_001_pilot_safe,5K,2689,proper_name_like,рыбы || людвиг || специалист || пожар || поэзия || чай
703,existir,бывать,verb,build:pilot_ptpt_001_pilot_safe,5K,2723,awkward_ru_gloss,кормить || ломаться || записать || спрятать || бывать || должен
721,físico,физик,noun,build:pilot_ptpt_001_pilot_safe,5K,2837,short_choice_pack,яйцо || чили || физик || зеркало || мода || пицца
728,anúncio,анонс,noun,build:pilot_ptpt_001_pilot_safe,5K,2860,short_choice_pack,анонс || архитектура || шея || гора || круиз || топор
731,cruzeiro,круиз,noun,build:pilot_ptpt_001_pilot_safe,5K,2869,short_choice_pack,кузина || шея || гора || топор || риф || круиз
737,machado,топор,noun,build:pilot_ptpt_001_pilot_safe,5K,2891,short_choice_pack,гора || шея || топор || сон || риф || кузина
738,manuel,мануил,noun,build:pilot_ptpt_001_pilot_safe,5K,2893,proper_name_like,случай || лечение || мануил || тётя || макияж || семинар
747,óleo,масло,noun,build:pilot_ptpt_001_pilot_safe,5K,2919,short_choice_pack,рис || вид || глава || песок || масло || озеро
750,lago,озеро,noun,build:pilot_ptpt_001_pilot_safe,5K,2955,short_choice_pack,озеро || песок || глава || конь || рис || вид
753,aparência,вид,noun,build:pilot_ptpt_001_pilot_safe,5K,2985,short_choice_pack,вид || песок || взрыв || глава || рис || конь
754,areia,песок,noun,build:pilot_ptpt_001_pilot_safe,5K,2988,short_choice_pack,песок || взрыв || легенда || конь || рис || глава
755,arroz,рис,noun,build:pilot_ptpt_001_pilot_safe,5K,2989,short_choice_pack,рис || глава || взрыв || нос || конь || легенда
769,voo,рейс,noun,build:pilot_ptpt_001_pilot_safe,5K,3051,short_choice_pack,пёс || рейс || ад || градус || афера || стена
824,papai,папа,noun,build:pilot_ptpt_001_pilot_safe,5K,3349,short_choice_pack,район || плащ || папа || гора || пиво || канада
855,cuba,куба,noun,build:pilot_ptpt_001_pilot_safe,5K,3549,short_choice_pack,цепь || нос || кот || куба || дым || дворец
2337,relógio,часы,noun,build:pilot_ptpt_001_enriched_qc,5K,3641,short_choice_pack,танец || побег || брюхо || часы || юго-восток || жопа
1021,baile,танец,noun,build:pilot_ptpt_001_enriched_qc,5K,3664,short_choice_pack,брюхо || юго-восток || часы || жопа || почта || танец
1036,barriga,брюхо,noun,build:pilot_ptpt_001_enriched_qc,5K,3665,short_choice_pack,часы || жопа || брюхо || почта || танец || юго-восток
2047,neve,снег,noun,build:pilot_ptpt_001_enriched_qc,5K,3787,short_choice_pack,рука || чили || флот || снег || вклад || копьё
2192,poeta,поэт,noun,build:pilot_ptpt_001_enriched_qc,5K,3792,short_choice_pack,волна || паника || побег || поэт || куба || фраза
1784,iraque,ирак,noun,build:pilot_ptpt_001_enriched_qc,5K,3996,short_choice_pack,медь || сахар || ирак || мёд || отдых || миф
1896,magia,магия,noun,build:pilot_ptpt_001_enriched_qc,5K,4001,short_choice_pack,марш || ученик || магия || ар || вахта || днк
1921,marcha,марш,noun,build:pilot_ptpt_001_enriched_qc,5K,4003,short_choice_pack,вахта || ар || ученик || днк || магия || марш
1635,garganta,зев,noun,build:pilot_ptpt_001_enriched_qc,5K,4398,short_choice_pack,меч || палец || куба || танец || налог || зев
1093,buraco,дыра,noun,build:pilot_ptpt_001_enriched_qc,5K,4450,short_choice_pack,кислота || буря || дама || паук || яйцо || дыра
