item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,source_family,primary_flag,human_cluster,severity,suggested_action
542,inferno,ад,noun,build:pilot_ptpt_001_pilot_safe,5K,2015,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
571,consumo,потребление,noun,build:pilot_ptpt_001_pilot_safe,5K,2134,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
622,gelo,лёд,noun,build:pilot_ptpt_001_pilot_safe,5K,2325,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
624,peixe,рыба,noun,build:pilot_ptpt_001_pilot_safe,5K,2341,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
640,tia,тётя,noun,build:pilot_ptpt_001_pilot_safe,5K,2401,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
657,intervenção,вмешательство,noun,build:pilot_ptpt_001_pilot_safe,5K,2482,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
672,veículo,транспортное средство,noun,build:pilot_ptpt_001_pilot_safe,5K,2546,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
698,chá,чай,noun,build:pilot_ptpt_001_pilot_safe,5K,2711,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
707,salão,зал,noun,build:pilot_ptpt_001_pilot_safe,5K,2751,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
720,exercício,упражнение,noun,build:pilot_ptpt_001_pilot_safe,5K,2836,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
724,mel,мёд,noun,build:pilot_ptpt_001_pilot_safe,5K,2843,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
729,arquitetura,архитектура,noun,build:pilot_ptpt_001_pilot_safe,5K,2861,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
741,pescoço,шея,noun,build:pilot_ptpt_001_pilot_safe,5K,2900,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
743,recife,риф,noun,build:pilot_ptpt_001_pilot_safe,5K,2907,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
744,sono,сон,noun,build:pilot_ptpt_001_pilot_safe,5K,2910,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
746,tensão,напряжение,noun,build:pilot_ptpt_001_pilot_safe,5K,2913,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
758,concentração,напряжение,noun,build:pilot_ptpt_001_pilot_safe,5K,2997,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
763,nariz,нос,noun,build:pilot_ptpt_001_pilot_safe,5K,3028,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
765,permissão,разрешение,noun,build:pilot_ptpt_001_pilot_safe,5K,3034,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
774,equipamento,снаряжение,noun,build:pilot_ptpt_001_pilot_safe,5K,3072,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
781,queijo,сыр,noun,build:pilot_ptpt_001_pilot_safe,5K,3102,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
798,cooperação,сотрудничество,noun,build:pilot_ptpt_001_pilot_safe,5K,3194,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
821,equilíbrio,равновесие,noun,build:pilot_ptpt_001_pilot_safe,5K,3326,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
825,paraíso,рай,noun,build:pilot_ptpt_001_pilot_safe,5K,3350,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
837,hugo,хью,noun,build:pilot_ptpt_001_pilot_safe,5K,3408,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
3230,democrático,демократический,adjective,build:pilot_ptpt_003_kaikki_adjadv,5K,3891,kaikki,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
965,are,ар,noun,build:pilot_ptpt_001_enriched_qc:deactivated_final_bad_short_20260311_133030,5K,4038,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1493,espada,меч,noun,build:pilot_ptpt_001_enriched_qc,5K,4230,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2473,sopa,суп,noun,build:pilot_ptpt_001_enriched_qc,5K,4351,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1341,dama,дама,noun,build:pilot_ptpt_001_enriched_qc,5K,4460,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1620,furacão,буря,noun,build:pilot_ptpt_001_enriched_qc,5K,4481,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1616,fumaça,дым,noun,build:pilot_ptpt_001_enriched_qc,5K,4818,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2478,suco,сок,noun,build:pilot_ptpt_001_enriched_qc,5K,4860,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
996,atração,достопримечательность,noun,build:pilot_ptpt_001_enriched_qc,5K,4879,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1543,faca,нож,noun,build:pilot_ptpt_001_enriched_qc,5K,4903,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1663,gravidez,беременность,noun,build:pilot_ptpt_001_enriched_qc,5K,4916,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2565,transparência,прозрачность,noun,build:pilot_ptpt_001_enriched_qc,10K,5048,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1552,fantasma,привидения,noun,build:pilot_ptpt_001_enriched_qc:deactivated_semantic_suspect_20260311_133552,10K,5197,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1730,imigração,иммиграция,noun,build:pilot_ptpt_001_enriched_qc,10K,5208,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2168,piano,фортепиано,noun,build:pilot_ptpt_001_enriched_qc,10K,5333,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2561,traição,предательство,noun,build:pilot_ptpt_001_enriched_qc,10K,5364,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2652,virtude,добродетель,noun,build:pilot_ptpt_001_enriched_qc,10K,5370,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
961,aquisição,приобретение,noun,build:pilot_ptpt_001_enriched_qc,10K,5381,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1364,dente,зуб,noun,build:pilot_ptpt_001_enriched_qc,10K,5404,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2387,sacrifício,жертвоприношение,noun,build:pilot_ptpt_001_enriched_qc,10K,5791,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
873,acompanhamento,сопровождение,noun,build:pilot_ptpt_001_enriched_qc,10K,5808,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1459,engano,недоразумение,noun,build:pilot_ptpt_001_enriched_qc,10K,5845,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1058,bico,клюв,noun,build:pilot_ptpt_001_enriched_qc,10K,5914,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1564,ferida,рана,noun,build:pilot_ptpt_001_enriched_qc,10K,6064,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
953,apelo,зов,noun,build:pilot_ptpt_001_enriched_qc,10K,6263,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1068,boi,вол,noun,build:pilot_ptpt_001_enriched_qc,10K,6270,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2463,soja,соевые бобы,noun,build:pilot_ptpt_001_enriched_qc,10K,6478,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2623,veneno,яд,noun,build:pilot_ptpt_001_enriched_qc:deactivated_final_bad_short_20260311_133030,10K,6486,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2460,sociologia,социология,noun,build:pilot_ptpt_001_enriched_qc,10K,6709,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1187,chat,чат,noun,build:pilot_ptpt_001_enriched_qc,10K,6996,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2085,orelha,ухо,noun,build:pilot_ptpt_001_enriched_qc,10K,7058,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2196,pontuação,препинание,noun,build:pilot_ptpt_001_enriched_qc:deactivated_semantic_suspect_20260311_133552,10K,7066,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1430,eco,эхо,noun,build:pilot_ptpt_001_enriched_qc,10K,7146,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1646,gene,ген,noun,build:pilot_ptpt_001_enriched_qc,10K,7160,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2501,taiwan,китайская республика,noun,build:pilot_ptpt_001_enriched_qc:deactivated_safe_cleanup,10K,7476,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2285,quadrilha,рил,noun,build:pilot_ptpt_001_enriched_qc,10K,7566,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1199,chuveiro,душ,noun,build:pilot_ptpt_001_enriched_qc,10K,8018,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1863,livraria,книшный магазин,noun,build:pilot_ptpt_001_enriched_qc:deactivated_semantic_suspect_20260311_133552,10K,8358,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1220,clã,клан,noun,build:pilot_ptpt_001_enriched_qc,10K,8588,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2405,seda,шелк,noun,build:pilot_ptpt_001_enriched_qc,10K,8958,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2420,sena,сена,noun,build:pilot_ptpt_001_enriched_qc,10K,8959,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2475,submarino,подводная лодка,noun,build:pilot_ptpt_001_enriched_qc,10K,8965,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1023,balança,весы,noun,build:pilot_ptpt_001_enriched_qc,10K,9006,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2139,pecuária,животноводство,noun,build:pilot_ptpt_001_enriched_qc,10K,9086,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2307,raposa,лиса,noun,build:pilot_ptpt_001_enriched_qc,10K,9096,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1401,distinguir,дифференцировать,verb,build:pilot_ptpt_001_enriched_qc,10K,9178,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1191,cheque,чек,noun,build:pilot_ptpt_001_enriched_qc,20K,10149,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1547,fada,фея,noun,build:pilot_ptpt_001_enriched_qc,20K,10188,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1488,escultura,скульптура,noun,build:pilot_ptpt_001_enriched_qc,20K,10704,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1797,jade,жад,noun,build:pilot_ptpt_001_enriched_qc,20K,10913,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1948,meme,мем,noun,build:pilot_ptpt_001_enriched_qc,20K,10929,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1059,bigode,усы,noun,build:pilot_ptpt_001_enriched_qc,20K,11217,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1099,cabra,коза,noun,build:pilot_ptpt_001_enriched_qc,20K,11222,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
2432,serpente,змея,noun,build:pilot_ptpt_001_enriched_qc,20K,11346,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1361,demolição,снос,noun,build:pilot_ptpt_001_enriched_qc,20K,11431,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1643,gaveta,выдвижной ящик,noun,build:pilot_ptpt_001_enriched_qc,20K,11475,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
1904,mali,мали,noun,build:pilot_ptpt_001_enriched_qc,20K,11494,enriched_qc,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
