item_id,lemma,bin_name,correct_answer,total_choices,correct_choices,rule_status,rule_risk_score,rule_flags,cognate_flags,candidate_class,reasons
187,conhecer,1K,знать,6,1,ok,0,,,READY,
195,contar,1K,читать,6,1,ok,0,,,READY,
898,ajudar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1240,comer,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1242,começar,1K,,0,0,reject,185,latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like|phrase_like_gloss,,REJECT,no_correct_answer_in_vocab_choices
1249,comprar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1265,conhecer,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1273,contar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1418,dormir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1455,encontrar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1462,entender,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1501,esperar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1548,falar,1K,сказать,6,1,ok,0,,,READY,
1572,ficar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
1848,ler,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2006,mostrar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2095,ouvir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2100,pagar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2120,parar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2408,seguir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2429,sentir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2521,tentar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2548,tomar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2554,trabalhar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2603,usar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2627,ver,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2656,viver,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2698,ver,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2699,falar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2700,ficar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2701,usar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2702,ajudar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2703,pensar,1K,найти,6,1,ok,0,,,READY,
2704,encontrar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2705,começar,1K,,0,0,reject,185,latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like|phrase_like_gloss,,REJECT,no_correct_answer_in_vocab_choices
2706,ouvir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2707,trabalhar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2708,viver,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2709,seguir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2710,tomar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2711,comprar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2712,ler,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2713,parar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2714,tentar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2715,sentir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2716,conhecer,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2717,mostrar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2718,contar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2719,comer,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2720,entender,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2721,pagar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2722,esperar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
2723,dormir,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
10651,achar,1K,считать,6,1,ok,0,,,READY,
10655,pensar,1K,думать,6,1,ok,0,,,READY,
10657,pôr,1K,класть,6,1,ok,0,,,READY,
881,admirar,20K,восхищаться,6,1,ok,0,reflexive_infinitive,,REVIEW,reflexive_infinitive:acceptable_but_flag_for_review
2082,orar,20K,просить,6,1,ok,0,,,READY,
8736,acomodar,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
8742,admirar,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
8804,ativar,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
8881,calcular,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9063,diferenciar,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9197,fomentar,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9620,preferir,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9908,vomitar,20K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
408,beber,2K,пить,6,1,ok,0,,,READY,
448,tocar,2K,играть,6,1,ok,0,,,READY,
10663,ajudar,2K,помогать,6,1,ok,0,,,READY,
10666,começar,2K,начинать,6,1,ok,0,,,READY,
10668,esquecer,2K,забывать,6,1,ok,0,,,READY,
10675,parar,2K,останавливать,6,1,ok,0,,,READY,
10678,resolver,2K,решать,6,1,ok,0,,,READY,
10679,trazer,2K,приносить,6,1,ok,0,,,READY,
561,produzir,5K,делать,6,1,review,40,generic_ai_gloss,,REVIEW,gloss_rule:generic_ai_gloss
703,existir,5K,бывать,6,1,ok,0,,,READY,
708,utilizar,5K,использовать,6,1,ok,0,,pt_suffix:izar,REVIEW,pt_suffix:izar
751,morar,5K,жить,6,1,ok,0,,,READY,
815,regular,5K,регулировать,6,1,ok,0,,ru_internationalism,REVIEW,ru_internationalism
1006,avançar,5K,продолжать,6,1,ok,0,,,READY,
1229,colar,5K,клей,6,1,review,85,non_verb_gloss_candidate|not_infinitive_like,,REVIEW,gloss_rule:non_verb_gloss_candidate|gloss_rule:not_infinitive_like
1489,escutar,5K,слущать,6,1,ok,0,,,READY,
2632,vestir,5K,ходить,6,1,ok,0,,,READY,
3983,dever,5K,должен,6,1,ok,0,,,READY,
8769,analisar,5K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
8784,aproveitar,5K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9195,foder,5K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9692,regular,5K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9997,dar,5K,давать,6,1,ok,0,,,READY,
10048,chegar,,прибывать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10050,conseguir,,получать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10052,deixar,,уходить,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10053,estar,,быть,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10054,governar,,управлять,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10055,haver,,иметься,6,1,ok,0,reflexive_infinitive,,REVIEW,bin_null:cannot_be_targeted_by_selector
10057,levar,,брать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10059,militar,,бороться,6,1,ok,0,reflexive_infinitive,,REVIEW,bin_null:cannot_be_targeted_by_selector
10061,partir,,делить,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10062,passar,,проходить,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10065,tirar,,брать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10606,endireitar,,выпрямлять,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10607,participar,,участвовать,6,1,ok,0,,known_transparent_pair,REVIEW,bin_null:cannot_be_targeted_by_selector
10608,saudar,,приветствовать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10626,ansiar,,жаждать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10627,preconizar,,одобрительно отзываться,6,1,review,35,not_infinitive_like|phrase_like_gloss,pt_suffix:izar,REVIEW,bin_null:cannot_be_targeted_by_selector
10628,reconhecer,,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
10645,apreciar,,быть признательным,6,1,ok,10,phrase_like_gloss,,REVIEW,bin_null:cannot_be_targeted_by_selector
10646,enganar,,обманывать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10647,ferir,,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
10648,grifar,,подчёркивать,6,1,ok,0,,,REVIEW,bin_null:cannot_be_targeted_by_selector
10649,negligenciar,,упускать из виду,6,1,review,50,phrase_like_gloss,,REVIEW,bin_null:cannot_be_targeted_by_selector
10650,plotar,,строить схему,6,1,ok,10,phrase_like_gloss,,REVIEW,bin_null:cannot_be_targeted_by_selector
