id,lemma,question_text,correct_answer,difficulty_band,lexical_band,pos,topic_tag,active,freq_rank,level,bin_name,cefr_estimate,concept_group,donor_eligible
90,amor,amor,"любовь",,,noun,build:pilot_ptpt_001_pilot_safe,0,274,,1K,A1,amor,0
91,escola,"Что значит это слово?

escola","школа",,,noun,build:pilot_ptpt_001_pilot_safe,1,275,,1K,A1,escola,0
92,morte,"Что значит это слово?

morte","смерть",,,noun,build:pilot_ptpt_001_pilot_safe,1,281,,1K,A1,morte,0
93,projeto,projeto,"проект",,,noun,build:pilot_ptpt_001_pilot_safe,0,288,,1K,A1,projeto,0
94,"região","região","регион",,,noun,build:pilot_ptpt_001_pilot_safe,0,289,,1K,A1,"região",0
95,sul,sul,"юг",,,noun,build:pilot_ptpt_001_pilot_safe,0,291,,1K,A1,sul,0
96,"área","Что значит это слово?

área","площадь",,,noun,build:pilot_ptpt_001_pilot_safe,1,294,,1K,A1,"área",0
97,lei,"Что значит это слово?

lei","закон",,,noun,build:pilot_ptpt_001_pilot_safe,1,297,,1K,A1,lei,0
98,problema,problema,"проблема",,,noun,build:pilot_ptpt_001_pilot_safe,0,299,,1K,A1,problema,0
99,guerra,"Что значит это слово?

guerra","война",,,noun,build:pilot_ptpt_001_pilot_safe,1,306,,1K,A1,guerra,0
100,filme,"Что значит это слово?

filme","фильм",,,noun,build:pilot_ptpt_001_pilot_safe,1,314,,1K,A1,filme,0
101,programa,programa,"программа",,,noun,build:pilot_ptpt_001_pilot_safe,0,323,,1K,A1,programa,0
102,terra,"Что значит это слово?

terra","земля",,,noun,build:pilot_ptpt_001_pilot_safe,1,331,,1K,A1,terra,0
103,favor,favor,"услуга",,,noun,build:pilot_ptpt_001_pilot_safe,0,336,,1K,A1,favor,0
104,"população","população","население",,,noun,build:pilot_ptpt_001_pilot_safe,0,351,,1K,A1,"população",0
105,usar,"Что значит это слово?

usar","использовать",,,verb,build:pilot_ptpt_001_pilot_safe,1,359,,1K,A1,usar,0
106,ajuda,"Что значит это слово?

ajuda","помощь",,,noun,build:pilot_ptpt_001_pilot_safe,1,360,,1K,A1,ajuda,0
107,"cabeça","Что значит это слово?

cabeça","голова",,,noun,build:pilot_ptpt_001_pilot_safe,1,361,,1K,A1,health_body,0
108,corpo,"Что значит это слово?

corpo","тело",,,noun,build:pilot_ptpt_001_pilot_safe,1,363,,1K,A1,health_body,0
109,livro,"Что значит это слово?

livro","книга",,,noun,build:pilot_ptpt_001_pilot_safe,1,378,,1K,A1,livro,0
110,"relação","relação","связь",,,noun,build:pilot_ptpt_001_pilot_safe,0,381,,1K,A1,"relação",0
111,ajudar,"Что значит это слово?

ajudar","помочь",,,verb,build:pilot_ptpt_001_pilot_safe,1,383,,1K,A1,ajudar,0
112,amigo,"Что значит это слово?

amigo","друг",,,noun,build:pilot_ptpt_001_pilot_safe,1,384,,1K,A1,amigo,0
113,norte,"Что значит это слово?

norte","север",,,noun,build:pilot_ptpt_001_pilot_safe,1,396,,1K,A1,norte,0
114,rede,"Что значит это слово?

rede","сеть",,,noun,build:pilot_ptpt_001_pilot_safe,1,402,,1K,A1,rede,0
115,universidade,universidade,"университет",,,noun,build:pilot_ptpt_001_pilot_safe,0,403,,1K,A1,universidade,0
116,maneira,"Что значит это слово?

maneira","образ",,,noun,build:pilot_ptpt_001_pilot_safe,1,409,,1K,A1,maneira,0
117,empresa,"Что значит это слово?

empresa","бизнес",,,noun,build:pilot_ptpt_001_pilot_safe,1,413,,1K,A1,work_employment,0
118,rua,"Что значит это слово?

rua","улица",,,noun,build:pilot_ptpt_001_pilot_safe,1,420,,1K,A1,transport_mobility,0
119,"manhã","Что значит это слово?

manhã","утро",,,noun,build:pilot_ptpt_001_pilot_safe,1,428,,1K,A1,"manhã",0
120,povo,povo,"народ",,,noun,build:pilot_ptpt_001_pilot_safe,0,432,,1K,A1,povo,0
121,futebol,futebol,"футбол",,,noun,build:pilot_ptpt_001_pilot_safe,0,443,,1K,A1,futebol,0
122,"mês","Что значит это слово?

mês","месяц",,,noun,build:pilot_ptpt_001_pilot_safe,1,444,,1K,A1,time_basic,0
123,"mão","mão","рука",,,noun,build:pilot_ptpt_001_pilot_safe,0,451,,1K,A1,health_body,0
124,papel,"Что значит это слово?

papel","бумага",,,noun,build:pilot_ptpt_001_pilot_safe,1,452,,1K,A1,bureaucracy_documents,0
125,paz,paz,"мир",,,noun,build:pilot_ptpt_001_pilot_safe,0,453,,1K,A1,paz,0
126,encontrar,"Что значит это слово?

encontrar","найти",,,verb,build:pilot_ptpt_001_pilot_safe,1,460,,1K,A1,encontrar,0
127,"produção","produção","производство",,,noun,build:pilot_ptpt_001_pilot_safe,0,471,,1K,A1,"produção",0
128,sociedade,sociedade,"общество",,,noun,build:pilot_ptpt_001_pilot_safe,0,472,,1K,A1,sociedade,0
129,campo,"Что значит это слово?

campo","поле",,,noun,build:pilot_ptpt_001_pilot_safe,1,488,,1K,A1,campo,0
130,senhor,senhor,"господин",,,noun,build:pilot_ptpt_001_pilot_safe,0,498,,1K,A1,senhor,0
131,"começar","Что значит это слово?

começar","начать",,,verb,build:pilot_ptpt_001_pilot_safe,1,501,,1K,A2,"começar",1
132,filha,"Что значит это слово?

filha","дочь",,,noun,build:pilot_ptpt_001_pilot_safe,1,505,,1K,A2,filha,0
133,ouvir,"Что значит это слово?

ouvir","слушать",,,verb,build:pilot_ptpt_001_pilot_safe,1,507,,1K,A2,ouvir,1
134,ideia,"Что значит это слово?

ideia","идея",,,noun,build:pilot_ptpt_001_pilot_safe,1,520,,1K,A2,ideia,0
135,"língua","Что значит это слово?

língua","язык",,,noun,build:pilot_ptpt_001_pilot_safe,1,536,,1K,A2,"língua",0
136,"português","português","португальский",,,noun,build:pilot_ptpt_001_pilot_safe,0,541,,1K,A2,"português",0
137,time,time,"команда",,,noun,build:pilot_ptpt_001_pilot_safe,0,545,,1K,A2,time,0
138,caminho,"Что значит это слово?

caminho","путь",,,noun,build:pilot_ptpt_001_pilot_safe,1,549,,1K,A2,caminho,0
139,energia,energia,"энергия",,,noun,build:pilot_ptpt_001_pilot_safe,0,553,,1K,A2,energia,0
140,festa,"Что значит это слово?

festa","вечеринка",,,noun,build:pilot_ptpt_001_pilot_safe,1,554,,1K,A2,festa,0
141,"nível","Что значит это слово?

nível","уровень",,,noun,build:pilot_ptpt_001_pilot_safe,1,556,,1K,A2,"nível",0
142,"questão","Что значит это слово?

questão","вопрос",,,noun,build:pilot_ptpt_001_pilot_safe,1,557,,1K,A2,"questão",0
143,respeito,"Что значит это слово?

respeito","уважение",,,noun,build:pilot_ptpt_001_pilot_safe,1,558,,1K,A2,respeito,0
144,"informação","informação","информация",,,noun,build:pilot_ptpt_001_pilot_safe,0,564,,1K,A2,"informação",0
145,"irmão","Что значит это слово?

irmão","брат",,,noun,build:pilot_ptpt_001_pilot_safe,1,566,,1K,A2,"irmão",0
146,partido,"Что значит это слово?

partido","партия",,,noun,build:pilot_ptpt_001_pilot_safe,1,570,,1K,A2,partido,0
147,sucesso,"Что значит это слово?

sucesso","успех",,,noun,build:pilot_ptpt_001_pilot_safe,1,574,,1K,A2,sucesso,0
148,trabalhar,trabalhar,"работать",,,verb,build:pilot_ptpt_001_pilot_safe,0,575,,1K,A2,work_employment,0
149,viver,"Что значит это слово?

viver","жить",,,verb,build:pilot_ptpt_001_pilot_safe,1,577,,1K,A2,viver,1
150,capital,capital,"капитал",,,noun,build:pilot_ptpt_001_pilot_safe,0,579,,1K,A2,capital,0
151,professor,professor,"учитель",,,noun,build:pilot_ptpt_001_pilot_safe,0,588,,1K,A2,professor,0
152,seguir,"Что значит это слово?

seguir","следовать",,,verb,build:pilot_ptpt_001_pilot_safe,1,590,,1K,A2,seguir,1
153,"ação","ação","акция",,,noun,build:pilot_ptpt_001_pilot_safe,0,594,,1K,A2,"ação",0
154,"criança","Что значит это слово?

criança","ребёнок",,,noun,build:pilot_ptpt_001_pilot_safe,1,597,,1K,A2,"criança",0
155,imagem,"Что значит это слово?

imagem","картина",,,noun,build:pilot_ptpt_001_pilot_safe,1,601,,1K,A2,imagem,0
156,militar,militar,"военнослужащий",,,noun,build:pilot_ptpt_001_pilot_safe,0,605,,1K,A2,militar,0
157,ordem,"Что значит это слово?

ordem","заказ",,,noun,build:pilot_ptpt_001_pilot_safe,1,609,,1K,A2,ordem,0
158,tomar,"Что значит это слово?

tomar","пить",,,verb,build:pilot_ptpt_001_pilot_safe,1,611,,1K,A2,food_daily,0
159,voz,"Что значит это слово?

voz","голос",,,noun,build:pilot_ptpt_001_pilot_safe,1,612,,1K,A2,voz,0
160,"construção","construção","устроение",,,noun,build:pilot_ptpt_001_pilot_safe,0,614,,1K,A2,"construção",0
161,fevereiro,fevereiro,"февраль",,,noun,build:pilot_ptpt_001_pilot_safe,0,616,,1K,A2,fevereiro,0
162,futuro,"Что значит это слово?

futuro","будущее",,,noun,build:pilot_ptpt_001_pilot_safe,1,617,,1K,A2,futuro,0
163,visto,visto,"виза",,,noun,build:pilot_ptpt_001_pilot_safe,0,623,,1K,A2,bureaucracy_documents,0
164,jeito,"Что значит это слово?

jeito","манера",,,noun,build:pilot_ptpt_001_pilot_safe,1,630,,1K,A2,jeito,0
165,resultado,"Что значит это слово?

resultado","итог",,,noun,build:pilot_ptpt_001_pilot_safe,1,635,,1K,A2,resultado,0
166,"tradução","tradução","перевод",,,noun,build:pilot_ptpt_001_pilot_safe,0,638,,1K,A2,"tradução",0
167,comprar,"Что значит это слово?

comprar","покупать",,,verb,build:pilot_ptpt_001_pilot_safe,1,642,,1K,A2,shopping_money,0
168,ler,"Что значит это слово?

ler","читать",,,verb,build:pilot_ptpt_001_pilot_safe,1,648,,1K,A2,ler,1
169,luta,"Что значит это слово?

luta","драка",,,noun,build:pilot_ptpt_001_pilot_safe,1,649,,1K,A2,luta,0
170,mensagem,"Что значит это слово?

mensagem","сообщение",,,noun,build:pilot_ptpt_001_pilot_safe,1,651,,1K,A2,mensagem,0
171,"organização","organização","организация",,,noun,build:pilot_ptpt_001_pilot_safe,0,654,,1K,A2,"organização",0
172,palavra,palavra,"словo",,,noun,build:pilot_ptpt_001_pilot_safe,0,655,,1K,A2,palavra,0
173,parar,"Что значит это слово?

parar","остановить",,,verb,build:pilot_ptpt_001_pilot_safe,1,656,,1K,A2,parar,0
174,pergunta,pergunta,"вопрос",,,noun,build:pilot_ptpt_001_pilot_safe,0,657,,1K,A2,pergunta,0
175,tentar,"Что значит это слово?

tentar","стараться",,,verb,build:pilot_ptpt_001_pilot_safe,1,659,,1K,A2,tentar,0
176,"decisão","decisão","решение",,,noun,build:pilot_ptpt_001_pilot_safe,0,669,,1K,A2,"decisão",0
177,"joão","joão","иван",,,noun,build:pilot_ptpt_001_pilot_safe,0,673,,1K,A2,"joão",0
178,sexo,sexo,"пол",,,noun,build:pilot_ptpt_001_pilot_safe,0,678,,1K,A2,sexo,0
179,tecnologia,tecnologia,"технология",,,noun,build:pilot_ptpt_001_pilot_safe,0,679,,1K,A2,tecnologia,0
180,texto,"Что значит это слово?

texto","текст",,,noun,build:pilot_ptpt_001_pilot_safe,1,680,,1K,A2,texto,0
181,"época","Что значит это слово?

época","эпоха",,,noun,build:pilot_ptpt_001_pilot_safe,1,681,,1K,A2,"época",0
182,arte,"Что значит это слово?

arte","искусство",,,noun,build:pilot_ptpt_001_pilot_safe,1,682,,1K,A2,arte,0
183,artigo,"Что значит это слово?

artigo","артикль",,,noun,build:pilot_ptpt_001_pilot_safe,1,683,,1K,A2,artigo,0
184,prova,"Что значит это слово?

prova","испытание",,,noun,build:pilot_ptpt_001_pilot_safe,1,690,,1K,A2,prova,0
185,sentir,"Что значит это слово?

sentir","чувствовать",,,verb,build:pilot_ptpt_001_pilot_safe,1,691,,1K,A2,sentir,1
186,vontade,"Что значит это слово?

vontade","воля",,,noun,build:pilot_ptpt_001_pilot_safe,1,692,,1K,A2,vontade,0
187,conhecer,conhecer,"знать",,,verb,build:pilot_ptpt_001_pilot_safe,1,709,,1K,A2,conhecer,1
188,mostrar,"Что значит это слово?

mostrar","показать",,,verb,build:pilot_ptpt_001_pilot_safe,1,712,,1K,A2,mostrar,0
189,defesa,"Что значит это слово?

defesa","защита",,,noun,build:pilot_ptpt_001_pilot_safe,1,723,,1K,A2,defesa,0
190,"vitória","Что значит это слово?

vitória","победа",,,noun,build:pilot_ptpt_001_pilot_safe,1,732,,1K,A2,food_daily,0
191,boca,boca,"рот",,,noun,build:pilot_ptpt_001_pilot_safe,0,735,,1K,A2,boca,0
192,canal,canal,"канал",,,noun,build:pilot_ptpt_001_pilot_safe,0,736,,1K,A2,canal,0
193,carlos,carlos,"карл",,,noun,build:pilot_ptpt_001_pilot_safe,0,737,,1K,A2,carlos,0
194,"comunicação","comunicação","общение",,,noun,build:pilot_ptpt_001_pilot_safe,0,738,,1K,A2,"comunicação",0
195,contar,contar,"рассказывать",,,verb,build:pilot_ptpt_001_pilot_safe,1,740,,1K,A2,contar,1
196,"ministério","Что значит это слово?

ministério","министерство",,,noun,build:pilot_ptpt_001_pilot_safe,1,742,,1K,A2,"ministério",0
197,comer,"Что значит это слово?

comer","есть",,,verb,build:pilot_ptpt_001_pilot_safe,1,753,,1K,A2,food_daily,1
198,entender,"Что значит это слово?

entender","понять",,,verb,build:pilot_ptpt_001_pilot_safe,1,757,,1K,A2,entender,1
199,mercado,"Что значит это слово?

mercado","базар",,,noun,build:pilot_ptpt_001_pilot_safe,1,759,,1K,A2,shopping_money,0
200,resposta,"Что значит это слово?

resposta","ответ",,,noun,build:pilot_ptpt_001_pilot_safe,1,762,,1K,A2,resposta,0
201,sol,"Что значит это слово?

sol","соль",,,noun,build:pilot_ptpt_001_pilot_safe,1,764,,1K,A2,sol,0
202,"república","república","республика",,,noun,build:pilot_ptpt_001_pilot_safe,0,776,,1K,A2,"república",0
203,chama,"Что значит это слово?

chama","пламя",,,noun,build:pilot_ptpt_001_pilot_safe,1,781,,1K,A2,chama,0
204,europa,europa,"европа",,,noun,build:pilot_ptpt_001_pilot_safe,0,785,,1K,A2,europa,0
205,passo,"Что значит это слово?

passo","след",,,noun,build:pilot_ptpt_001_pilot_safe,1,790,,1K,A2,passo,0
206,"político","político","политик",,,noun,build:pilot_ptpt_001_pilot_safe,0,791,,1K,A2,"político",0
207,"razão","Что значит это слово?

razão","разум",,,noun,build:pilot_ptpt_001_pilot_safe,1,793,,1K,A2,"razão",0
208,rei,"Что значит это слово?

rei","король",,,noun,build:pilot_ptpt_001_pilot_safe,1,794,,1K,A2,rei,0
209,casamento,casamento,"свадьба",,,noun,build:pilot_ptpt_001_pilot_safe,0,800,,1K,A2,casamento,0
210,data,"Что значит это слово?

data","дата",,,noun,build:pilot_ptpt_001_pilot_safe,1,802,,1K,A2,data,0
211,"exército","Что значит это слово?

exército","армия",,,noun,build:pilot_ptpt_001_pilot_safe,1,803,,1K,A2,"exército",0
212,hospital,hospital,"больница",,,noun,build:pilot_ptpt_001_pilot_safe,0,804,,1K,A2,health_body,0
213,pagar,"Что значит это слово?

pagar","платить",,,verb,build:pilot_ptpt_001_pilot_safe,1,809,,1K,A2,pagar,0
214,realidade,realidade,"реальность",,,noun,build:pilot_ptpt_001_pilot_safe,0,810,,1K,A2,realidade,0
215,"união","Что значит это слово?

união","союз",,,noun,build:pilot_ptpt_001_pilot_safe,1,815,,1K,A2,"união",0
216,viagem,"Что значит это слово?

viagem","путешествие",,,noun,build:pilot_ptpt_001_pilot_safe,1,816,,1K,A2,viagem,0
217,banco,"Что значит это слово?

banco","банк",,,noun,build:pilot_ptpt_001_pilot_safe,1,821,,1K,A2,banco,0
218,"conteúdo","Что значит это слово?

conteúdo","содержание",,,noun,build:pilot_ptpt_001_pilot_safe,1,823,,1K,A2,"conteúdo",0
219,jornal,jornal,"газета",,,noun,build:pilot_ptpt_001_pilot_safe,0,827,,1K,A2,jornal,0
220,mar,mar,"море",,,noun,build:pilot_ptpt_001_pilot_safe,0,828,,1K,A2,mar,0
221,pedro,pedro,"пётр",,,noun,build:pilot_ptpt_001_pilot_safe,0,830,,1K,A2,pedro,0
222,porta,"Что значит это слово?

porta","дверь",,,noun,build:pilot_ptpt_001_pilot_safe,1,832,,1K,A2,house_home,0
223,praia,"Что значит это слово?

praia","пляж",,,noun,build:pilot_ptpt_001_pilot_safe,1,833,,1K,A2,praia,0
224,revista,revista,"журнал",,,noun,build:pilot_ptpt_001_pilot_safe,0,836,,1K,A2,revista,0
225,clube,"Что значит это слово?

clube","клуб",,,noun,build:pilot_ptpt_001_pilot_safe,1,846,,1K,A2,clube,0
226,curso,"Что значит это слово?

curso","курс",,,noun,build:pilot_ptpt_001_pilot_safe,1,847,,1K,A2,curso,0
227,liga,"Что значит это слово?

liga","сплав",,,noun,build:pilot_ptpt_001_pilot_safe,1,854,,1K,A2,liga,0
228,"presença","Что значит это слово?

presença","присутствие",,,noun,build:pilot_ptpt_001_pilot_safe,1,855,,1K,A2,"presença",0
229,"rádio","Что значит это слово?

rádio","радий",,,noun,build:pilot_ptpt_001_pilot_safe,1,857,,1K,A2,"rádio",0
230,"experiência","experiência","опыт",,,noun,build:pilot_ptpt_001_pilot_safe,0,867,,1K,A2,"experiência",0
231,modelo,"Что значит это слово?

modelo","макет",,,noun,build:pilot_ptpt_001_pilot_safe,1,871,,1K,A2,modelo,0
232,natal,natal,"рождество",,,noun,build:pilot_ptpt_001_pilot_safe,0,872,,1K,A2,natal,0
233,"opinião","Что значит это слово?

opinião","взгляд",,,noun,build:pilot_ptpt_001_pilot_safe,1,874,,1K,A2,"opinião",0
234,ouro,"Что значит это слово?

ouro","бубны",,,noun,build:pilot_ptpt_001_pilot_safe,1,876,,1K,A2,ouro,0
235,"sábado","Что значит это слово?

sábado","суббота",,,noun,build:pilot_ptpt_001_pilot_safe,1,880,,1K,A2,"sábado",0
236,bairro,"Что значит это слово?

bairro","квартал",,,noun,build:pilot_ptpt_001_pilot_safe,1,883,,1K,A2,bairro,0
237,costa,"Что значит это слово?

costa","побережье",,,noun,build:pilot_ptpt_001_pilot_safe,1,885,,1K,A2,costa,0
238,crime,"Что значит это слово?

crime","преступление",,,noun,build:pilot_ptpt_001_pilot_safe,1,886,,1K,A2,crime,0
239,diretor,diretor,"директор",,,noun,build:pilot_ptpt_001_pilot_safe,0,888,,1K,A2,diretor,0
240,domingo,"Что значит это слово?

domingo","воскресенье",,,noun,build:pilot_ptpt_001_pilot_safe,1,889,,1K,A2,domingo,0
241,esperar,"Что значит это слово?

esperar","ждать",,,verb,build:pilot_ptpt_001_pilot_safe,1,891,,1K,A2,esperar,0
242,instituto,"Что значит это слово?

instituto","институт",,,noun,build:pilot_ptpt_001_pilot_safe,1,897,,1K,A2,instituto,0
243,companhia,companhia,"діло",,,noun,build:pilot_ptpt_001_pilot_safe,0,909,,1K,A2,companhia,0
244,dormir,"Что значит это слово?

dormir","спать",,,verb,build:pilot_ptpt_001_pilot_safe,1,912,,1K,A2,dormir,1
245,economia,economia,"экономика",,,noun,build:pilot_ptpt_001_pilot_safe,0,913,,1K,A2,economia,0
246,liberdade,liberdade,"свобода",,,noun,build:pilot_ptpt_001_pilot_safe,0,919,,1K,A2,liberdade,0
247,"seleção","seleção","отбор",,,noun,build:pilot_ptpt_001_pilot_safe,0,924,,1K,A2,"seleção",0
248,velho,velho,"старик",,,noun,build:pilot_ptpt_001_pilot_safe,0,927,,1K,A2,velho,0
249,cabelo,"Что значит это слово?

cabelo","волосы",,,noun,build:pilot_ptpt_001_pilot_safe,1,930,,1K,A2,cabelo,0
250,"café","Что значит это слово?

café","кофе",,,noun,build:pilot_ptpt_001_pilot_safe,1,931,,1K,A2,food_daily,0
251,dor,dor,"боль",,,noun,build:pilot_ptpt_001_pilot_safe,0,934,,1K,A2,dor,0
252,fogo,"Что значит это слово?

fogo","огонь",,,noun,build:pilot_ptpt_001_pilot_safe,1,938,,1K,A2,fogo,0
253,"irmã","Что значит это слово?

irmã","сестра",,,noun,build:pilot_ptpt_001_pilot_safe,1,939,,1K,A2,"irmã",0
254,"televisão","televisão","телевизор",,,noun,build:pilot_ptpt_001_pilot_safe,0,950,,1K,A2,"televisão",0
255,"direção","direção","направление",,,noun,build:pilot_ptpt_001_pilot_safe,0,954,,1K,A2,"direção",0
256,entrada,"Что значит это слово?

entrada","статья",,,noun,build:pilot_ptpt_001_pilot_safe,1,955,,1K,A2,entrada,0
257,massa,"Что значит это слово?

massa","масса",,,noun,build:pilot_ptpt_001_pilot_safe,1,964,,1K,A2,massa,0
258,"missão","missão","миссия",,,noun,build:pilot_ptpt_001_pilot_safe,0,965,,1K,A2,"missão",0
259,"médico","Что значит это слово?

médico","врач",,,noun,build:pilot_ptpt_001_pilot_safe,1,968,,1K,A2,health_body,0
260,"negócio","Что значит это слово?

negócio","сделка",,,noun,build:pilot_ptpt_001_pilot_safe,1,969,,1K,A2,"negócio",0
261,cama,"Что значит это слово?

cama","кровать",,,noun,build:pilot_ptpt_001_pilot_safe,1,982,,1K,A2,cama,0
262,"licença","Что значит это слово?

licença","разрешение",,,noun,build:pilot_ptpt_001_pilot_safe,1,988,,1K,A2,"licença",0
263,"mudança","Что значит это слово?

mudança","переезд",,,noun,build:pilot_ptpt_001_pilot_safe,1,991,,1K,A2,"mudança",0
264,"município","Что значит это слово?

município","муниципалитет",,,noun,build:pilot_ptpt_001_pilot_safe,1,992,,1K,A2,"município",0
265,"preço","preço","цена",,,noun,build:pilot_ptpt_001_pilot_safe,0,996,,1K,A2,shopping_money,0
266,qualidade,qualidade,"качество",,,noun,build:pilot_ptpt_001_pilot_safe,0,997,,1K,A2,qualidade,0
