lemma,ru_gloss,pos,freq_rank,bin_name,source
alemão,немецкий,adjective,2348,5K,pt_ru_seed_dictionary_v1
difícil,трудный,adjective,2400,5K,pt_ru_seed_dictionary_v1
final,конечный,adjective,2400,5K,pt_ru_seed_dictionary_prefill_v2
geral,общий,adjective,2540,5K,pt_ru_seed_dictionary_prefill_v2
principal,главный,adjective,2730,5K,pt_ru_seed_dictionary_prefill_v2
igual,равный,adjective,3100,5K,pt_ru_seed_dictionary_prefill_v2
estranho,странный,adjective,4200,5K,pt_ru_seed_dictionary_prefill_v2
singular,единственный,adjective,7697,10K,pt_ru_seed_dictionary_prefill_v2
esperto,умный,adjective,7905,10K,pt_ru_seed_dictionary_prefill_v2
bem,хорошо,adverb,54,1K,pt_ru_seed_dictionary_v1
aqui,здесь,adverb,63,1K,pt_ru_seed_dictionary_v1
agora,сейчас,adverb,70,1K,pt_ru_seed_dictionary_v1
assim,так,adverb,75,1K,pt_ru_seed_dictionary_prefill_v2
depois,потом,adverb,76,1K,pt_ru_seed_dictionary_v1
sempre,всегда,adverb,98,1K,pt_ru_seed_dictionary_v1
apenas,лишь,adverb,104,1K,pt_ru_seed_dictionary_v1
nunca,никогда,adverb,110,1K,pt_ru_seed_dictionary_v1
hoje,сегодня,adverb,117,1K,pt_ru_seed_dictionary_v1
ainda,ещё,adverb,120,1K,pt_ru_seed_dictionary_v1
antes,раньше,adverb,151,1K,pt_ru_seed_dictionary_v1
quase,почти,adverb,241,1K,pt_ru_seed_dictionary_v1
mal,плохо,adverb,319,1K,pt_ru_seed_dictionary_prefill_v2
lá,там,adverb,430,1K,pt_ru_seed_dictionary_prefill_v2
talvez,возможно,adverb,455,1K,pt_ru_seed_dictionary_v1
ontem,вчера,adverb,525,1K,pt_ru_seed_dictionary_v1
amanhã,завтра,adverb,548,1K,pt_ru_seed_dictionary_v1
longe,далеко,adverb,689,1K,pt_ru_seed_dictionary_v1
somente,только,adverb,706,1K,pt_ru_seed_dictionary_v1
abaixo,ниже,adverb,708,1K,pt_ru_seed_dictionary_v1
pior,хуже,adverb,745,1K,pt_ru_seed_dictionary_prefill_v2
fora,снаружи,adverb,760,1K,pt_ru_seed_dictionary_v1
ali,там,adverb,820,1K,pt_ru_seed_dictionary_v1
dentro,внутри,adverb,870,1K,pt_ru_seed_dictionary_v1
perto,близко,adverb,980,1K,pt_ru_seed_dictionary_v1
mais,более,adverb,1280,2K,pt_ru_seed_dictionary_prefill_v2
também,тоже,adverb,1690,2K,pt_ru_seed_dictionary_prefill_v2
nada,ничего,adverb,2010,5K,pt_ru_seed_dictionary_prefill_v2
depressa,быстро,adverb,2100,5K,pt_ru_seed_dictionary_v1
frequentemente,часто,adverb,2200,5K,pt_ru_seed_dictionary_v1
pouco,мало,adverb,2270,5K,pt_ru_seed_dictionary_prefill_v2
raramente,редко,adverb,2300,5K,pt_ru_seed_dictionary_v1
geralmente,обычно,adverb,2400,5K,pt_ru_seed_dictionary_v1
cedo,рано,adverb,2600,5K,pt_ru_seed_dictionary_v1
normalmente,обычно,adverb,2600,5K,pt_ru_seed_dictionary_v1
especialmente,особенно,adverb,2800,5K,pt_ru_seed_dictionary_v1
novamente,снова,adverb,2820,5K,pt_ru_seed_dictionary_v1
finalmente,наконец,adverb,2910,5K,pt_ru_seed_dictionary_v1
atualmente,в настоящее время,adverb,2940,5K,pt_ru_seed_dictionary_v1
principalmente,главным образом,adverb,3000,5K,pt_ru_seed_dictionary_v1
exatamente,точно,adverb,3040,5K,pt_ru_seed_dictionary_v1
completamente,полностью,adverb,3070,5K,pt_ru_seed_dictionary_v1
entretanto,тем временем,adverb,3080,5K,pt_ru_seed_dictionary_prefill_v2
infelizmente,к сожалению,adverb,3110,5K,pt_ru_seed_dictionary_v1
claramente,ясно,adverb,3200,5K,pt_ru_seed_dictionary_v1
obviamente,очевидно,adverb,3400,5K,pt_ru_seed_dictionary_v1
provavelmente,вероятно,adverb,3600,5K,pt_ru_seed_dictionary_v1
possivelmente,возможно,adverb,3800,5K,pt_ru_seed_dictionary_v1
rapidamente,быстро,adverb,4000,5K,pt_ru_seed_dictionary_v1
lentamente,медленно,adverb,4200,5K,pt_ru_seed_dictionary_prefill_v2
facilmente,легко,adverb,4500,5K,pt_ru_seed_dictionary_prefill_v2
dificilmente,едва ли,adverb,4700,5K,pt_ru_seed_dictionary_prefill_v2
simplesmente,просто,adverb,5400,10K,pt_ru_seed_dictionary_prefill_v2
realmente,действительно,adverb,5600,10K,pt_ru_seed_dictionary_prefill_v2
totalmente,полностью,adverb,5800,10K,pt_ru_seed_dictionary_prefill_v2
parcialmente,частично,adverb,6000,10K,pt_ru_seed_dictionary_prefill_v2
outrora,когда-то,adverb,10224,20K,pt_ru_seed_dictionary_prefill_v2
