item_id,lemma,bin_name,correct_answer,proposed_distractor_1,proposed_distractor_2,proposed_distractor_3,collision_check_status,semantic_note,confidence,proposal_status,reject_reason
2717,mostrar,1K,показать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'mostrar' already has an active verb item
1273,contar,1K,читать,,,,rejected_by_policy,,n/a,REJECT,wrong_gloss_and_conflicts: contar means 'рассказывать/считать' not 'читать'; CA also dup_ca+r1a
2718,contar,1K,читать,,,,rejected_by_policy,,n/a,REJECT,wrong_gloss_and_conflicts: contar means 'рассказывать/считать' not 'читать'; CA also dup_ca+r1a; pool duplicate
1240,comer,1K,есть,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'comer' already has an active verb item
2719,comer,1K,есть,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'comer' already has an active verb item
1462,entender,1K,понять,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'entender' already has an active verb item
2720,entender,1K,понять,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'entender' already has an active verb item
2100,pagar,1K,платить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'pagar' already has an active verb item
2721,pagar,1K,платить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'pagar' already has an active verb item
1501,esperar,1K,ждать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'esperar' already has an active verb item
2722,esperar,1K,ждать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'esperar' already has an active verb item
1418,dormir,1K,спать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'dormir' already has an active verb item
2723,dormir,1K,спать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'dormir' already has an active verb item
27,trabalhar,1K,работать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'trabalhar' already has an active verb item
50,trabalhar,1K,работать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'trabalhar' already has an active verb item
8804,ativar,20K,активизировать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ativar' already has an active verb item
9620,preferir,20K,предпочесть,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'preferir' already has an active verb item
8881,calcular,20K,считать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'calcular' already has an active verb item
8742,admirar,20K,восхищаться,удивляться,любоваться,ценить,r1a_clash,"All three relate to positive emotional response: удивляться (to be surprised), любоваться (to admire scenery), ценить (to value/appreciate). Plausible alternatives to восхищаться (to admire/be admired).",medium,REVIEW,r1a_clash: CA 'восхищаться' appears as distractor in active items; Rule 1a would fire on activation. Distractor bank rebuild needed first.
9908,vomitar,20K,рвать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'vomitar' already has an active verb item
9063,diferenciar,20K,отличать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'diferenciar' already has an active verb item
9197,fomentar,20K,возбуждать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'fomentar' already has an active verb item
8736,acomodar,20K,вмещать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'acomodar' already has an active verb item
8784,aproveitar,5K,иметь выгоду,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'aproveitar' already has an active verb item
9692,regular,5K,регулировать,контролировать,определять,координировать,r1a_clash,"All three relate to management/control: контролировать (to control), определять (to determine), координировать (to coordinate). Plausible but distinct from регулировать (to regulate/adjust).",medium,REVIEW,r1a_clash: CA 'регулировать' appears as distractor in active items; Rule 1a would fire on activation. Distractor bank rebuild needed first.
9195,foder,5K,ети,,,,rejected_by_policy,,n/a,REJECT,vulgar_content: CA 'ети' is vulgar/obscene; not suitable for vocab bank
8769,analisar,5K,анализировать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'analisar' already has an active verb item
